Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P27708,_de novo_ pyrimidine nucleobase biosynthetic process;_de novo_ UMP biosynthetic process;carbamoyl phosphate biosynthetic process;cellular response to drug;cellular response to epidermal growth factor stimulus;drug metabolic process;embryo development;female pregnancy;glutamine catabolic process;glutamine metabolic process;lactation;nucleobase-containing small molecule metabolic process;organ regeneration;peptidyl-threonine phosphorylation;protein autophosphorylation;pyrimidine nucleobase metabolic process;pyrimidine nucleoside biosynthetic process;response to amine stimulus;response to caffeine;response to cortisol stimulus;response to testosterone stimulus;small molecule metabolic process;UTP biosynthetic process,cytosol;nucleus,CAD,CAD protein,cytosol,small molecule metabolic process
P05387,cellular protein metabolic process;gene expression;mRNA metabolic process;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol,RPLP2,60S acidic ribosomal protein P2,cytosol,cellular protein metabolic process
P15880,cellular protein metabolic process;gene expression;mRNA metabolic process;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;positive regulation of transferase activity;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol;nucleus,RPS2,40S ribosomal protein S2,cytosol,cellular protein metabolic process
P02794,cellular iron ion homeostasis;immune response;intracellular sequestering of iron ion;iron ion transport;membrane organization;negative regulation of cell proliferation;negative regulation of fibroblast proliferation;post-Golgi vesicle-mediated transport;transmembrane transport,cytosol;nucleus,FTH1,Ferritin heavy chain,cytosol,membrane organization
P02675,blood coagulation;cell-matrix adhesion;cellular protein complex assembly;cellular response to interleukin-1;cellular response to leptin stimulus;extracellular matrix organization;negative regulation of endothelial cell apoptotic process;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;platelet activation;platelet aggregation;platelet degranulation;positive regulation of ERK1 and ERK2 cascade;positive regulation of exocytosis;positive regulation of heterotypic cell-cell adhesion;positive regulation of peptide hormone secretion;positive regulation of protein secretion;positive regulation of substrate adhesion-dependent cell spreading;positive regulation of vasoconstriction;protein polymerization;response to calcium ion;signal transduction,extracellular;cytoplasm;plasma membrane,FGB,Fibrinogen beta chain,extracellular,blood coagulation
P31151,angiogenesis;defense response to Gram-negative bacterium;epidermis development;innate immune response;keratinocyte differentiation;positive regulation of ERK1 and ERK2 cascade;positive regulation of granulocyte chemotaxis;positive regulation of monocyte chemotaxis;positive regulation of T cell chemotaxis;response to lipopolysaccharide;response to reactive oxygen species;sequestering of metal ion,cytoplasm;cytosol;endoplasmic reticulum;extracellular;nucleus,S100A7,Protein S100-A7,extracellular,innate immune response
Q01469,epidermis development;glucose metabolic process;glucose transport;lipid metabolic process;phosphatidylcholine biosynthetic process;response to wounding,cytoplasm,FABP5,Fatty acid-binding protein - epidermal,cytoplasm,glucose metabolic process
P04075,actin filament organization;ATP biosynthetic process;blood coagulation;carbohydrate metabolic process;fructose 1 -6-bisphosphate metabolic process;fructose metabolic process;gluconeogenesis;glucose metabolic process;glycolysis;muscle cell cellular homeostasis;platelet activation;platelet degranulation;protein homotetramerization;regulation of cell shape;small molecule metabolic process;striated muscle contraction,cytoplasm;cytosol;extracellular;nucleus,ALDOA,Fructose-bisphosphate aldolase A,extracellular,small molecule metabolic process
Q01105,DNA replication;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of catalytic activity;negative regulation of histone acetylation;negative regulation of neuron apoptotic process;negative regulation of transcription - DNA-dependent;nucleocytoplasmic transport;nucleosome assembly;nucleosome disassembly;regulation of catalytic activity;RNA metabolic process,cytoplasm;cytosol;endoplasmic reticulum;nucleus,SET,Protein SET,endoplasmic reticulum,mRNA metabolic process
P54727,DNA repair;nucleotide-excision repair;nucleotide-excision repair - DNA damage recognition;nucleotide-excision repair - DNA damage removal;proteasomal ubiquitin-dependent protein catabolic process;regulation of proteasomal ubiquitin-dependent protein catabolic process;spermatogenesis,cytoplasm;nucleus,RAD23B,UV excision repair protein RAD23 homolog B,nucleus,spermatogenesis
Q13501,apoptotic signaling pathway;autophagy;cell differentiation;endosomal transport;immune system process;intracellular signal transduction;macroautophagy;negative regulation of apoptotic process;neurotrophin TRK receptor signaling pathway;positive regulation of apoptotic process;positive regulation of macroautophagy;positive regulation of protein phosphorylation;positive regulation of transcription from RNA polymerase II promoter;protein heterooligomerization;protein localization;protein phosphorylation;regulation of I-kappaB kinase/NF-kappaB cascade;regulation of Ras protein signal transduction;response to stress;ubiquitin-dependent protein catabolic process,vacuole;cytoplasm;cytosol;endoplasmic reticulum;endosome;lysosome;nucleus,SQSTM1,Sequestosome-1,endoplasmic reticulum,negative regulation of apoptotic process
O75369,actin cytoskeleton organization;cell differentiation;cytokine-mediated signaling pathway;cytoskeletal anchoring at plasma membrane;signal transduction;skeletal muscle tissue development,cytoplasm;cytosol;plasma membrane,FLNB,Filamin-B,plasma membrane,signal transduction
P11413,carbohydrate metabolic process;cellular response to oxidative stress;cholesterol biosynthetic process;cytokine production;erythrocyte maturation;glucose 6-phosphate metabolic process;glutathione metabolic process;lipid metabolic process;NADP metabolic process;NADPH regeneration;negative regulation of protein glutathionylation;oxidation-reduction process;pentose biosynthetic process;pentose-phosphate shunt;pentose-phosphate shunt - oxidative branch;regulation of neuron apoptotic process;response to ethanol;response to food;response to organic cyclic compound;ribose phosphate biosynthetic process;small molecule metabolic process;substantia nigra development,cytoplasm;plasma membrane;cytosol;nucleus,G6PD,Glucose-6-phosphate 1-dehydrogenase,plasma membrane,small molecule metabolic process
P52209,carbohydrate metabolic process;D-gluconate metabolic process;oxidation-reduction process;pentose biosynthetic process;pentose-phosphate shunt;pentose-phosphate shunt - oxidative branch;small molecule metabolic process,cytosol;nucleus,PGD,6-phosphogluconate dehydrogenase - decarboxylating,cytosol,small molecule metabolic process
